Clause_ID,System,Paper_Section,Paper_Requirement,Production_File,Production_Lines,Production_Symbol,Executed_Path,Unit_Test_Name,Status,Evidence_Strength,Notes
S1.C1,System 1,§3.1,epsilon_pdf = 1e-12 (locked),src/weightiz/shared/config/models.py; src/weightiz/shared/config/builders.py; src/weightiz/module1/core.py,"31-40; 36-59; 135,279-285",EngineConfigModel.eps_pdf -> build_engine_config -> _build_typed_eps,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_constants_are_not_fail_closed[cfg_kwargs0],EXACT_MATCH,STRONG,"Default is 1e-12, but config accepts overrides and `_build_typed_eps` forwards `eps_pdf=float(cfg.eps_pdf)` unchanged."
S1.C2,System 1,§3.1,epsilon_vol = 1e-12 (locked),src/weightiz/shared/config/models.py; src/weightiz/shared/config/builders.py; src/weightiz/module1/core.py,"31-40; 36-59; 136,279-285",EngineConfigModel.eps_vol -> build_engine_config -> _build_typed_eps,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_constants_are_not_fail_closed[cfg_kwargs1],EXACT_MATCH,STRONG,"Default is 1e-12, but config accepts overrides and `_build_typed_eps` forwards `eps_vol=float(cfg.eps_vol)` unchanged."
S1.C3,System 1,§3.1,epsilon_div derives from tick_size,src/weightiz/module1/core.py,279-285,_build_typed_eps,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_defaults_match_spec,EXACT_MATCH,STRONG,"`eps_div=tick_size.astype(np.float64, copy=True)` on the executed path."
S1.C4,System 1,§3.1,epsilon_range derives from tick_size,src/weightiz/module1/core.py,279-285,_build_typed_eps,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_defaults_match_spec,EXACT_MATCH,STRONG,"`eps_range=tick_size.astype(np.float64, copy=True)` on the executed path."
S1.C5,System 1,§6.1,"grid is exactly [-6.0, 6.0) with DX=0.05 and B=240",src/weightiz/shared/config/models.py; src/weightiz/shared/config/builders.py; src/weightiz/module1/core.py,31-39; 36-59; 292-307,"EngineConfigModel.{B,x_min,dx} -> build_engine_config -> build_x_grid",src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_constants_are_not_fail_closed[cfg_kwargs2],EXACT_MATCH,STRONG,"Defaults match paper, but public config accepts alternate `B/x_min/dx`; the grid is not sealed fail-closed."
S1.C6,System 1,§6.1,semantic endpoint xmax = 5.95,src/weightiz/shared/config/models.py; src/weightiz/shared/config/builders.py; src/weightiz/module1/core.py,31-39; 36-59; 292-307,"EngineConfigModel.{B,x_min,dx} -> build_engine_config -> build_x_grid",src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_defaults_match_spec,EXACT_MATCH,MODERATE,"Default build yields 5.95, but endpoint depends on user-configurable `B/x_min/dx` rather than a hard lock."
S1.C7,System 1,§6.1,grid implementation is semantically equivalent to fixed deterministic construction,src/weightiz/module1/core.py,292-307,build_x_grid,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:792-823 -> src/weightiz/shared/config/builders.py:36-60 -> src/weightiz/module1/core.py:612-714,test_locked_defaults_match_spec,EXACT_MATCH,STRONG,"`x_grid = cfg.x_min + cfg.dx * np.arange(cfg.B, dtype=np.float64)` plus spacing checks."
S1.C8,System 1,§16.1,all core tensor math is float64,src/weightiz/module1/core.py; src/weightiz/module2/core.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/market_profile_kernels.py; src/weightiz/module2/tensor_builder.py,"635-658; 1188-1190,1663-1664; 262-279,359-367,457-463; 39-46,83-104,133-155; 36-47,64-79",preallocate_state / assert_float64 / kernels / rolling state,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_float64_tensors_and_kernels_stay_float64,EXACT_MATCH,STRONG,"Preallocation, kernel casts, rolling buffers, and final output guards all stay in float64."
S1.C9,System 1,§16.1,"no silent float32 downgrade in PDF generation, normalization, aggregation, or moments",src/weightiz/module2/market_profile_kernels.py; src/weightiz/module2/market_profile_engine.py; src/weightiz/module2/tensor_builder.py,"39-46,83-104,133-155; 262-367,457-463; 36-47,64-79",_gaussian_pdf / inject_profile_mass / run_streaming_profile_engine / apply_rolling_update,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_float64_tensors_and_kernels_stay_float64,EXACT_MATCH,STRONG,The executed path uses float64 arrays end-to-end and the audit test confirms float64 outputs from kernel and aggregation stages.
S2.C1,System 2,§4.1,"TR = max(H-L, |H-C_prev|, |L-C_prev|)",src/weightiz/module2/core.py,902-910,precompute_market_physics,src/weightiz/cli/run_module5.py:6-9 -> src/weightiz/cli/run_research.py:747-824 -> src/weightiz/module5/orchestrator.py:2529-2538 -> src/weightiz/module2/core.py:1796-1877 -> src/weightiz/module2/market_profile_engine.py:287-529 -> src/weightiz/module2/market_profile_kernels.py:49-160 -> src/weightiz/module2/tensor_builder.py:50-79,test_true_range_and_atr_floor_numeric,EXACT_MATCH,STRONG,"`tr = maximum(tr1, maximum(tr2, tr3))` with numeric proof `[2, 7, 3]`."
